Year,Day,Month,Time of capture,species name,Sex,Age,Band number,Trap identification,Weather,Banding report?,Recapture?,Recapture date (month),Recapture date (day),Condition,Release,Comments,Data entry person,Weight,Wing chord,Temperature,"Recapture, original","Recapture, previous",Tail length
1972,21,7,9:00:00,Song Sparrow,F,AHY (After Hatch Year),76-44548,Warbler,none,no check mark in record,check or yes,7,20,"active, bloody forehead",flew to tree,none,Caitlin Baker,,,,,,
1972,24,7,10:00:00,Robin,U,HY (Hatch Year),742-09448,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,24,7,10:00:00,House Sparrow,F,AHY (After Hatch Year),107-151192,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,24,7,10:00:00,House Sparrow,F,AHY (After Hatch Year),107-151193,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,24,7,10:00:00,Red-winged Blackbird,F,AHY (After Hatch Year),73-166543,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,24,7,10:30:00,Rose-breasted Grosbeak,M,HY (Hatch Year),73-166544,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,24,7,11:00:00,House Wren,U,L (Local),1260-74585,72-17,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,24,7,11:00:00,House Wren,U,L (Local),1260-74586,-,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,24,7,11:00:00,House Wren,U,L (Local),1260-74587,-,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,24,7,11:00:00,House Wren,U,U (Unknown),1260-74588,-,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,24,7,11:00:00,House Wren,U,U (Unknown),1260-74589,-,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,24,7,11:00:00,House Wren,U,U (Unknown),1260-74590,-,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,24,7,11:00:00,American Goldfinch,F,AHY (After Hatch Year),1260-74591,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,25,7,8:00:00,House Wren,F,AHY (After Hatch Year),1260-74592,Elevator,none,check mark in record,no check,none,none,none,none,slight yellow gape,Caitlin Baker,,,,,,
1972,27,7,7:00:00,Song Sparrow,U,U (Unknown),76-44548,Warbler,"Clear, calm",no check mark in record,check or yes,7,21,none,none,bloody head,Caitlin Baker,,,,,,
1972,27,7,8:00:00,House Wren,U,AHY (After Hatch Year),1260-74593,Elevator,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,27,7,8:00:00,House Wren,U,AHY (After Hatch Year),1260-74594,Elevator,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,27,7,9:00:00,House Sparrow,M,AHY (After Hatch Year),73-166545,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,27,7,10:30:00,Mourning Dove,U,L (Local),1243-56101,72-50,none,check mark in record,no check,none,none,none,none,"recovered in Mexico, 07-19-73",Caitlin Baker,,,,,,
1972,27,7,10:30:00,Mourning Dove,U,U (Unknown),1243-56102,72-50,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,27,7,10:30:00,House Sparrow,F,AHY (After Hatch Year),107-151194,Elevator,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,27,7,10:30:00,Catbird,U,HY (Hatch Year),73-166546,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,27,7,10:30:00,Chipping Sparrow,U,HY (Hatch Year),1260-74595,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,27,7,11:30:00,House Wren,U,AHY (After Hatch Year),1260-74596,Mobile Net,none,check mark in record,no check,none,none,none,none,woods near R.R.,Caitlin Baker,,,,,,
1972,27,7,12:00:00,Indigo Bunting,U,HY (Hatch Year),76-44558,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,27,7,12:00:00,American Goldfinch,M,ASY (After Second Year),1260-74597,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,27,7,12:00:00,Field Sparrow,U,AHY (After Hatch Year),1260-74598,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,28,7,6:00:00,House Sparrow,F,AHY (After Hatch Year),107-151120,Elevator,none,no check mark in record,check or yes,5,2,none,flew away,none,Caitlin Baker,,,,,,
1972,28,7,6:00:00,House Sparrow,U,HY (Hatch Year),107-151194,Elevator,none,no check mark in record,check or yes,7,27,none,"fluttered along ground, ""floor tactics"" in [eooding? can't read]",none,Caitlin Baker,,,,,,
1972,28,7,7:30:00,House Sparrow,U,HY (Hatch Year),107-151195,Tree,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,28,7,9:30:00,Rose-breasted Grosbeak,F,AHY (After Hatch Year),107-166547,Tree,none,check mark in record,no check,none,none,none,flew to tree,none,Caitlin Baker,,,,,,
1972,28,7,9:30:00,American Goldfinch,M,AHY (After Hatch Year),1260-74599,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,28,7,11:30:00,American Goldfinch,M,ASY (After Second Year),1260-74545,Net-Green,none,no check mark in record,check or yes,5,23,none,none,none,Caitlin Baker,,,,,,
1972,28,7,11:30:00,American Goldfinch,M,ASY (After Second Year),1260-74600,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,29,7,11:30:00,House Sparrow,U,HY (Hatch Year),107-151196,Warbler,none,check mark in record,no check,none,none,none,flew to tree,yellow gape,Caitlin Baker,,,,,,
1972,29,7,11:30:00,House Sparrow,U,HY (Hatch Year),107-151197,Warbler,none,check mark in record,no check,none,none,none,flew to tree,slight yellow gape,Caitlin Baker,,,,,,
1972,30,7,15:00:00,House Wren,U,L (Local),1260-74601,72-16,"clear, bright, mod. wind",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,30,7,15:00:00,House Wren,U,L (Local),1260-74602,-,"clear, bright, mod. wind",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,30,7,15:00:00,House Wren,U,L (Local),1260-74603,-,"clear, bright, mod. wind",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,30,7,15:00:00,House Wren,U,L (Local),1260-74604,-,"clear, bright, mod. wind",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,30,7,15:00:00,House Wren,U,L (Local),1260-74605,-,"clear, bright, mod. wind",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,30,7,15:00:00,House Wren,U,L (Local),1260-74606,-,"clear, bright, mod. wind",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,31,7,5:30:00,Field Sparrow,M,AHY (After Hatch Year),1260-74541,Tree,"ptly. cloudy, lt. wind",no check mark in record,check or yes,7,18,none,meadow,no scar on head; cloacal protuberance,Caitlin Baker,,,,,,
1972,1,8,14:00:00,House Wren,U,L (Local),1260-74607,72-57,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,1,8,14:00:00,House Wren,U,U (Unknown),1260-74608,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,1,8,14:00:00,House Wren,U,U (Unknown),1260-74609,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,1,8,14:00:00,House Wren,U,U (Unknown),1260-74610,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,1,8,14:00:00,House Wren,U,U (Unknown),1260-74611,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,1,8,14:00:00,House Wren,U,L (Local),1260-74612,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,2,8,9:30:00,Song Sparrow,U,AHY (After Hatch Year),107-151198,Net-Green,"partly cloudy, calm",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,2,8,9:30:00,American Goldfinch,M,AHY (After Hatch Year),1260-74613,none,"partly cloudy, calm",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,2,8,9:30:00,American Goldfinch,F,AHY (After Hatch Year),1260-74614,none,"partly cloudy, calm",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,2,8,9:30:00,Wood Thrush,U,HY (Hatch Year),73-166548,none,"partly cloudy, calm",check mark in record,no check,none,none,none,none,foundling,Caitlin Baker,,,,,,
1972,2,8,10:45:00,Rose-breasted Grosbeak,F,AHY (After Hatch Year),73-166549,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,3,8,11:00:00,Yellow-shafted Flicker,M,AHY (After Hatch Year),1113-89906,none,"clear, sunny, lt wind",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,3,8,11:00:00,Downy Woodpecker,M,AHY (After Hatch Year),107-151199,none,"clear, sunny, lt wind",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,3,8,11:00:00,Downy Woodpecker,U,U (Unknown),107-151200,none,"clear, sunny, lt wind",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,3,8,12:30:00,Indigo Bunting,U,HY (Hatch Year),76-44558,"none
",none,no check mark in record,check or yes,7,27,none,none,none,Caitlin Baker,,,,,,
1972,3,8,14:00:00,Indigo Bunting,M,ASY (After Second Year),76-44559,none,none,check mark in record,no check,none,none,4 tail feathers moulted,headed for net station,none,Caitlin Baker,,,,,,
1972,3,8,16:00:00,American Goldfinch,F,U (Unknown),1260-74615,none,none,check mark in record,no check,none,none,none,flew to tree,none,Caitlin Baker,,,,,,
1972,3,8,18:00:00,American Goldfinch,M,ASY (After Second Year),1260-74616,none,none,check mark in record,no check,none,none,none,check mark,none,Caitlin Baker,,,,,,
1972,3,8,18:00:00,Field Sparrow,M,AHY (After Hatch Year),1260-74541,Tree,none,no check mark in record,check or yes,7,31,none,to sumacs,none,Caitlin Baker,,,,,,
1972,4,8,7:00:00,Field Sparrow,U,HY (Hatch Year),1260-74617,none,"bright, sunny, calm",check mark in record,no check,none,none,v. active,to sumacs,none,Caitlin Baker,,,,,,
1972,4,8,9:00:00,House Sparrow,U,HY (Hatch Year),113-195901,none,none,check mark in record,no check,none,none,none,flew toward Cty Rd 77,yellow gape,Caitlin Baker,,,,,,
1972,4,8,20:30:00,Song Sparrow,M,AHY (After Hatch Year),113-195902,Elevator,"clear, calm",check mark in record,no check,none,none,hostile,to tree,twilight release,Caitlin Baker,,,,,,
1972,5,8,10:30:00,American Goldfinch,M,ASY (After Second Year),1260-74616,Net-Green,"clear, light wind",no check mark in record,check or yes,8,3,none,near net; to tree,none,Caitlin Baker,,,,,,
1972,5,8,10:30:00,House Sparrow,M,HY (Hatch Year),113-195903,Elevator,"clear, light wind",check mark in record,no check,none,none,docile,to tree,"slight, yellow gape; begins to show black bib",Caitlin Baker,,,,,,
1972,5,8,10:30:00,Song Sparrow,U,HY (Hatch Year),113-195904,none,"clear, light wind",check mark in record,no check,none,none,raw head; v. active,flew to north meadow,none,Caitlin Baker,,,,,,
1972,5,8,11:00:00,American Goldfinch,U,L (Local),1260-74618,72-55,none,check mark in record,no check,none,none,none,none,one dead nestling removed from nest,Caitlin Baker,,,,,,
1972,5,8,11:00:00,American Goldfinch,U,L (Local),1260-74619,-,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,5,8,11:30:00,House Wren,U,L (Local),1260-74620,72-42,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,5,8,11:30:00,House Wren,U,L (Local),1260-74621,-,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,5,8,11:30:00,House Wren,U,L (Local),1260-74622,-,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,6,8,11:00:00,Blue Jay,U,HY (Hatch Year),1113-89907,Tree,"light rain, lt wind",check mark in record,no check,none,none,v. active; bleeding head,flew to tree,called several times while captive; answered 2x by others,Caitlin Baker,,,,,,
1972,7,8,6:00:00,Song Sparrow,M,AHY (After Hatch Year),113-195905,Elevator,"clear, calm",check mark in record,no check,none,none,v. active,flew to sumacs,none,Caitlin Baker,,,,,,
1972,7,8,8:30:00,House Wren,U,AHY (After Hatch Year),1260-74623,none,none,check mark in record,no check,none,none,docile,flew to sumacs,none,Caitlin Baker,,,,,,
1972,7,8,16:30:00,Chipping Sparrow,U,HY (Hatch Year),1260-74624,none,"drizzle rain, cool",check mark in record,no check,none,none,none,to sumacs,"streaked breast, grey rump",Caitlin Baker,,,,,,
1972,8,8,6:30:00,Song Sparrow,U,AHY (After Hatch Year),113-195906,none,"ptly cloudy, lt wind",check mark in record,no check,none,none,active,away to north,none,Caitlin Baker,,,,,,
1972,8,8,7:00:00,Song Sparrow,U,AHY (After Hatch Year),76-44555,none,none,no check mark in record,check or yes,7,13,scarred forehead,to sumacs,incubation patch (?); buff patch at throat,Caitlin Baker,,,,,,
1972,8,8,12:00:00,House Sparrow,U,HY (Hatch Year),113-195907,Warbler,"sunny, lt clouds, lt wind",check mark in record,no check,none,none,none,none,slight yellow gape,Caitlin Baker,,,,,,
1972,8,8,12:00:00,House Sparrow,U,HY (Hatch Year),113-195908,none,"sunny, lt clouds, lt wind",check mark in record,no check,none,none,hostile,flew to meadow,none,Caitlin Baker,,,,,,
1972,8,8,12:00:00,House Wren,U,AHY (After Hatch Year),1260-74625,Elevator,"sunny, lt clouds, lt wind",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,8,8,12:00:00,House Sparrow,F,AHY (After Hatch Year),113-195909,none,"sunny, lt clouds, lt wind",check mark in record,no check,none,none,hostile,flew away to west,none,Caitlin Baker,,,,,,
1972,8,8,12:00:00,House Sparrow,F,AHY (After Hatch Year),113-195910,none,"sunny, lt clouds, lt wind",check mark in record,no check,none,none,none,to tree,no yellow in gape,Caitlin Baker,,,,,,
1972,8,8,12:00:00,House Sparrow,M,AHY (After Hatch Year),113-195911,none,"sunny, lt clouds, lt wind",check mark in record,no check,none,none,none,tree,no yellow,Caitlin Baker,,,,,,
1972,8,8,12:00:00,Song Sparrow,U,AHY (After Hatch Year),113-195902,none,"sunny, lt clouds, lt wind",no check mark in record,check or yes,8,4,"hostile, very. scar on forehead",flew to lawn edge,none,Caitlin Baker,,,,,,
1972,8,8,16:30:00,Chipping Sparrow,U,HY (Hatch Year),1260-74626,none,none,check mark in record,no check,none,none,none,to tree,none,Caitlin Baker,,,,,,
1972,9,8,9:30:00,Song Sparrow,U,AHY (After Hatch Year),113-195902,Warbler,"overcast, calm",no check mark in record,check or yes,8,8,v. hostile,flew to sumacs,none,Caitlin Baker,,,,,,
1972,9,8,9:30:00,House Sparrow,M,HY (Hatch Year),113-195912,none,"overcast, calm",check mark in record,no check,none,none,docile,flew to tree,v. slt. yellow gape; bib forming,Caitlin Baker,,,,,,
1972,9,8,10:00:00,House Wren,U,AHY (After Hatch Year),1260-74627,Net-Green,none,check mark in record,no check,none,none,active,flew to brush pile,none,Caitlin Baker,,,,,,
1972,9,8,15:30:00,Eastern Phoebe,U,U (Unknown),76-44560,none,"sunny, calm",check mark in record,no check,none,none,fairly active,flew to tree,wingsfeathers badly disarrayed,Caitlin Baker,,,,,,
1972,9,8,18:00:00,Song Sparrow,U,HY (Hatch Year),113-195913,Elevator,none,check mark in record,no check,none,none,active,to tree,no incubation patch,Caitlin Baker,,,,,,
1972,9,8,18:00:00,Song Sparrow,U,U (Unknown),76-44555,none,none,no check mark in record,check or yes,7,13,active,none,buffy throat,Caitlin Baker,,,,,,
1972,9,8,18:15:00,Brown Thrasher,U,AHY (After Hatch Year),742-09426,Net-Green,none,no check mark in record,check or yes,5,23,v. active; moulting,at net; into grass,none,Caitlin Baker,,,,,,
1972,9,8,20:30:00,Chipping Sparrow,U,AHY (After Hatch Year),1260-74628,Elevator,"twilight, calm",check mark in record,no check,none,none,"active, tail moult",to brush pile,held overnight,Caitlin Baker,,,,,,
1972,10,8,9:30:00,American Goldfinch,F,U (Unknown),1260-74629,Net-Green,"cloudy, mod. wind",check mark in record,no check,none,none,"active, hostile",to edge of lawn,none,Caitlin Baker,,,,,,
1972,10,8,9:30:00,American Goldfinch,U,U (Unknown),1260-74630,none,"cloudy, mod. wind",check mark in record,no check,none,none,active,to tree,none,Caitlin Baker,,,,,,
1972,10,8,10:00:00,House Wren,U,L (Local),1260-74631,72-58,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,10,8,10:00:00,House Wren,U,U (Unknown),1260-74632,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,10,8,10:00:00,House Wren,U,U (Unknown),1260-74633,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,10,8,10:00:00,House Wren,U,U (Unknown),1260-74634,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,10,8,10:00:00,House Wren,U,U (Unknown),1260-74635,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,10,8,10:00:00,House Wren,U,U (Unknown),1260-74636,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,10,8,10:00:00,House Wren,U,U (Unknown),1260-74637,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,10,8,10:30:00,Eastern Phoebe,U,U (Unknown),76-44561,Net-Green,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,10,8,13:30:00,Chipping Sparrow,U,HY (Hatch Year),1260-74624,Tree,"cloudy, strong wind",check mark in record,check or yes,8,7,active,flew to meadow,none,Caitlin Baker,,,,,,
1972,10,8,13:30:00,Chipping Sparrow,U,U (Unknown),1260-74638,none,"cloudy, strong wind",check mark in record,no check,none,none,active,flew to tree,none,Caitlin Baker,,,,,,
1972,10,8,13:30:00,Chipping Sparrow,M,AHY (After Hatch Year),1260-74639,Elevator,"cloudy, strong wind",check mark in record,no check,none,none,v. active,flew to tree,"cloacal protub.; eye streak, no grey rump",Caitlin Baker,,,,,,
1972,11,8,13:00:00,American Goldfinch,M,ASY (After Second Year),1260-74640,Net-Green,"cloudy, intermittent sun",check mark in record,no check,none,none,none,flew to tree,none,Caitlin Baker,,,,,,
1972,11,8,14:45:00,Field Sparrow,U,AHY (After Hatch Year),1260-74541,Elevator,none,check mark in record,check or yes,8,3,active,to sumacs,originally banded 04-25-72,Caitlin Baker,,,,,,
1972,11,8,16:30:00,American Goldfinch,M,ASY (After Second Year),1260-74641,Net-Green,"sunny, bright, calm",check mark in record,no check,none,none,docile,to tree,none,Caitlin Baker,,,,,,
1972,12,8,6:30:00,House Wren,U,AHY (After Hatch Year),1260-74642,Elevator,"sunny, clear, calm",check mark in record,no check,none,none,none,to sumacs,none,Caitlin Baker,,,,,,
1972,12,8,9:00:00,American Goldfinch,M,ASY (After Second Year),1260-74643,Net-Green,none,no check mark in record,no check,none,none,hostile,to tree,none,Caitlin Baker,,,,,,
1972,12,8,9:00:00,Chipping Sparrow,U,HY (Hatch Year),1260-74626,Elevator,none,no check mark in record,check or yes,8,8,active,to meadow,none,Caitlin Baker,,,,,,
1972,12,8,9:00:00,House Wren,U,L (Local),1260-74644,72-51,none,check mark in record,no check,none,none,active,returned to nest; sprang from nest,none,Caitlin Baker,,,,,,
1972,12,8,11:30:00,House Wren,U,L (Local),1260-74645,72-51,"sunny, calm",check mark in record,no check,none,none,nestling,returned to nest box,none,Caitlin Baker,,,,,,
1972,12,8,15:00:00,American Goldfinch,F,U (Unknown),1260-74646,Net-Green,none,check mark in record,no check,none,none,none,to tree,none,Caitlin Baker,,,,,,
1972,12,8,21:00:00,Chipping Sparrow,U,HY (Hatch Year),113-195904,Elevator,"twilight, calm",no check mark in record,check or yes,8,5,head bloodied,held overnight; to north meadow,mis-identified on original banding,Caitlin Baker,,,,,,
1972,13,8,9:30:00,American Goldfinch,F,AHY (After Hatch Year),1260-74544,Elevator,"hazy, humid, calm",check mark in record,check or yes,5,11,none,none,incubation patch,Caitlin Baker,,,,,,
1972,13,8,9:45:00,Eastern Bluebird,U,L (Local),113-195914,72-49,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,13,8,9:45:00,Eastern Bluebird,U,U (Unknown),113-195915,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,13,8,9:45:00,Eastern Bluebird,U,U (Unknown),113-195916,none,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,13,8,12:00:00,Yellowthroat,U,HY (Hatch Year),1260-74647,Net-Green,none,check mark in record,no check,none,none,none,to tall grass,no wing-bais [? can't read]; yellow wash on rump. no reddish head; no incubation patch,Caitlin Baker,,,,,,
1972,13,8,17:00:00,White-breasted Nuthatch,M,U (Unknown),107-151151,tree,none,check mark in record,check or yes,6,17,v. active,to tree,none,Caitlin Baker,,,,,,
1972,14,8,8:00:00,House Wren,M,AHY (After Hatch Year),1260-74648,tree,"foggy, calm",check mark in record,no check,none,none,v. active,to sumacs,none,Caitlin Baker,,,,,,
1972,14,8,19:00:00,Purple Finch,U,U (Unknown),113-195917,Net-Green,"clear, hot, humid, calm",check mark in record,no check,none,none,hostile,flew toward net site,AOU 517; beak stained w. berry juice,Caitlin Baker,,,,,,
1972,15,8,18:00:00,Chipping Sparrow,M,AHY (After Hatch Year),1260-47649,Warbler,"clear, hot, lt. wind",check mark in record,no check,none,none,active,to tree,none,Caitlin Baker,,,,,,
1972,15,8,18:30:00,Chipping Sparrow,U,HY (Hatch Year),1260-47650,none,none,check mark in record,no check,none,none,docile,to tree,"no red cap; grey rump, eye-line",Caitlin Baker,,,,,,
1972,15,8,19:30:00,American Goldfinch,M,ASY (After Second Year),1260-47640,Net-Green,none,no check mark in record,check or yes,8,11,docile,to tree,none,Caitlin Baker,,,,,,
1972,17,8,7:00:00,Song Sparrow,U,HY (Hatch Year),113-195913,Elevator,"clear, hot, calm",no check mark in record,check or yes,8,9,hostile,to sumacs,scar on forehead,Caitlin Baker,,,,,,
1972,17,8,9:30:00,Clay-colored Sparrow,U,U (Unknown),1260-74651,Warbler,none,check mark in record,no check,none,none,docile,to north meadow,AOU 561; brown rump; post-juvenile molt,Caitlin Baker,,,,,,
1972,17,8,11:30:00,Chipping Sparrow,U,HY (Hatch Year),1260-74652,Warbler,none,check mark in record,no check,none,none,none,to meadow,skinned head,Caitlin Baker,,,,,,
1972,17,8,20:00:00,Chipping Sparrow,U,HY (Hatch Year),1260-74653,Warbler,"twilight, calm, hot",check mark in record,no check,none,none,active,to tree,held overnight,Caitlin Baker,,,,,,
1972,17,8,20:00:00,Downy Woodpecker,F,U (Unknown),113-195918,Net-Green,"twilight, calm, hot",check mark in record,no check,none,none,active,to tree,held overnight,Caitlin Baker,,,,,,
1972,18,8,11:30:00,Chipping Sparrow,U,AHY (After Hatch Year),1260-74654,Warbler,"clear, hot, calm",check mark in record,no check,none,none,none,to edge of parking lot,none,Caitlin Baker,,,,,,
1972,18,8,11:30:00,Chipping Sparrow,U,AHY (After Hatch Year),1260-74655,none,"clear, hot, calm",check mark in record,no check,none,none,none,to tree,none,Caitlin Baker,,,,,,
1972,18,8,18:00:00,Clay-colored Sparrow,U,HY (Hatch Year),1260-74656,none,none,check mark in record,no check,none,none,none,to tree,forehead slightly skinned,Caitlin Baker,,,,,,
1972,19,8,9:30:00,Clay-colored Sparrow,U,HY (Hatch Year),1260-74657,none,none,check mark in record,no check,none,none,none,to tree,rump not definitely grey,Caitlin Baker,,,,,,
1972,19,8,10:30:00,Field Sparrow,F,U (Unknown),1260-74658,none,none,check mark in record,no check,none,none,none,to old box elder,incubation patch ( ),Caitlin Baker,,,,,,
