Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Effect: Impact to flight,Effect: Other,Location: Nearby if en route,Aircraft: Flight Number,FlightDate,Record ID,Effect: Indicated Damage,Location: Freeform en route,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Reported: Date,Wildlife: Size,Conditions: Sky,Wildlife: Species,When: Time (HHMM),When: Time of day,Pilot warned of birds or wildlife?,Cost: Aircraft time out of service (hours),Cost: Other (inflation adj),Cost: Repair (inflation adj),Cost: Total $,Miles from airport,Feet above ground,Number of human fatalities,Number of people injured,Speed (IAS) in knots
Airplane,SALT LAKE CITY INTL,< 1000 ft,B-737-300,2 to 10,Other,FLT DELAYED FOR ENG INSPN,,665,1/2/00 0:00,201559,No damage,,2,DELTA AIR LINES,Utah,Landing Roll,None,FALSE,FALSE,"PASSED THRU A FLOCK OF BIRDS. INGESTED AT LEAST 1 BIRD. TWR REPORTED SOME DMG TO ENG., BUT MECHANICS FOUND  NONE. RWY INSPN FOUND NO REMAINS. FLT WAS DELAYED 1/2 HR FOR ENG INSPN.",1/2/00 0:00,Small,Some Cloud,Unknown bird - small,1345,Day,,1,0,0,0,0,0,,,130
,MIAMI INTL,Unknown,UNKNOWN,2 to 10,,,,,1/2/00 0:00,205149,No damage,,,UNKNOWN,Florida,,,TRUE,FALSE,BIRDS FOUND ON RWY AT 0750.,1/2/00 0:00,Small,,Unknown bird - small,,,,,0,0,0,0,,,,
Airplane,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,HAWKER 800,1,None,,,,1/2/00 0:00,201026,Caused damage,,2,BUSINESS,Florida,Approach,None,FALSE,FALSE,SUSPECT GULL. HEARD THUMP ON APCH BUT NO ABNRML ENG INDICATIONS.  FOUND BLOOD OUTSIDE OF NACELLE & IN TAIL CONE. MAINT INSPN FOUND  DMGD STATOR VANES & COMPRESSOR BLADES.,1/6/00 0:00,Medium,No Cloud,Unknown bird - medium,,Day,Y,96,"26,727","93,546","120,273",,200,,,132
Airplane,KANSAS CITY INTL,< 1000 ft,MD-80,11 to 100,None,,,,1/2/00 0:00,200142,No damage,,2,TRANS WORLD AIRLINES,Missouri,Approach,None,FALSE,FALSE,,2/6/00 0:00,Large,No Cloud,Canada goose,,Night,N,,0,0,0,,350,,,140
Airplane,NASHVILLE INTL,< 1000 ft,B-737-400,1,None,,,,1/3/00 0:00,208776,No damage,,2,US AIRWAYS*,Tennessee,Climb,None,FALSE,FALSE,,,Small,Some Cloud,Unknown bird - small,740,Dawn,Y,,0,0,0,,800,,,190
Airplane,SAN ANTONIO INTL,Unknown,B-737,1,Precautionary Landing,,,,1/3/00 0:00,201027,No damage,,2,SOUTHWEST AIRLINES,Texas,Climb,,FALSE,FALSE,"PILOT FELT A VIBRATION & RETD TO SAT. THE A/C CHECKED OUT OK, BUT THE PASSENGERS WERE PUT ON ANOTHER FLT FOR SAFETY.",,Medium,,Unknown bird - medium,2000,Night,,,0,0,0,,,,,
Airplane,SALT LAKE CITY INTL,Unknown,B-767-300,2 to 10,Other,SWAPPED AIRCRAFT,,,1/3/00 0:00,201859,Caused damage,,2,DELTA AIR LINES,Utah,Approach,None,FALSE,FALSE,NOTICED FEATHER REMNANTS ON A FEW INLET BLADES AND BLOOD ON ENG  BULLET. ON PREFLT WALKAROUND. MAINT SAID BIRDS HAD BEEN INGESTED  INTO CORE. SWAPPED A/C AS A RESULT. 2 OTHER A/C HAD BIRDSTRIKES  THAT SAME HOUR.,,Small,No Cloud,Unknown bird - small,1530,Day,Y,,0,0,0,,,,,
Airplane,PENSACOLA REGIONAL,< 1000 ft,EMB-120,2 to 10,None,,,,1/3/00 0:00,202643,No damage,,2,COMAIR AIRLINES,Florida,Landing Roll,None,FALSE,FALSE,FLT 61,1/3/00 0:00,,Overcast,Crows,1443,Day,N,,0,0,0,0,0,,,100
Airplane,THEODORE FRANCIS GREEN STATE,< 1000 ft,C-650,1,None,,,,1/3/00 0:00,200378,No damage,,2,BUSINESS,Rhode Island,Approach,None,FALSE,FALSE,SOME FEATHERS STUCK IN EDGE OF COWLING.,1/3/00 0:00,,Overcast,Geese,1650,Dusk,Y,,0,0,0,,500,,,
Airplane,ATLANTA INTL,> 1000 ft,DC-9,1,Engine Shut Down,,,,1/3/00 0:00,203735,Caused damage,,2,AIRTRAN AIRWAYS,Georgia,Climb,None,FALSE,FALSE,PREC. LDG. ENG SHUT DOWN. INGESTION. ENG VIBRATION.,1/3/00 0:00,Medium,Some Cloud,Unknown bird - medium,,Day,N,24,0,0,0,,"1,800",,,230
Airplane,BALTIMORE WASH INTL,< 1000 ft,B-737-700,1,None,,,,1/4/00 0:00,205029,No damage,,2,SOUTHWEST AIRLINES,Maryland,Climb,,FALSE,FALSE,"1 BIRD WAS SEEN JUST AFTER ROTATION BUT DID NOT APPEAR TO IMPACT  THE A/C. A FEW MINUTES LATER, AN ODOR ENTERED THE CABIN  INDICATING WE HAD INGESTED TH BIRD. NO VIBRATION OR ANY OTHER  EFFECTS WERE NOTED.",,Medium,No Cloud,Unknown bird - medium,,Day,N,,0,0,0,,50,,,170
Airplane,MINETA SAN JOSE INTL,< 1000 ft,B-737-800,1,Precautionary Landing,,,,1/4/00 0:00,208470,No damage,,2,AMERICAN AIRLINES,California,Climb,None,FALSE,FALSE,"FLT 128 ENCOUNTERED 15-20 BIRDS.  AT 1000 FT, #1 START VALVE  ILLUMINATED & FLT ATTENDANTS REPTD A VIBRATION IN CABIN. MAINT  FOUND NO DMG. COST WAS FOR HOTELS & LOST REVENUE. #1 ENG  VIBRATING. FLT WAS DIVERTED TO SFO.",,Large,Some Cloud,Unknown bird - large,1312,Day,N,15,"26,727",0,"26,727",,100,,,145
Airplane,SAN ANTONIO INTL,> 1000 ft,B-737-200,1,,,,,1/4/00 0:00,207197,No damage,,2,SOUTHWEST AIRLINES,Texas,Approach,None,FALSE,FALSE,,,Medium,No Cloud,Unknown bird - medium,,Night,N,,0,0,0,,"1,400",,,175
Airplane,UNKNOWN,Unknown,B-777-200,1,,,,,1/4/00 0:00,209300,No damage,IAD-AMS,2,UNITED AIRLINES,N/A,,,FALSE,FALSE,EVIDENCE OF SML BIRD IMPACT RT FUSELAGE AFT OF COCKPIT WINDOWS.,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
Airplane,TETERBORO AIRPORT,< 1000 ft,LEARJET-55,1,None,,,,1/4/00 0:00,204251,No damage,,2,BUSINESS,New Jersey,Climb,Rain,FALSE,FALSE,PILOT REPTD STRIKE & ELECTED TO CONTINUE FLT.,1/4/00 0:00,Large,Overcast,Great black-backed gull,2000,Night,N,,0,0,0,,50,,,140
Airplane,LAFAYETTE REGIONAL (LA),< 1000 ft,ATR-42,1,None,,,,1/4/00 0:00,204764,No damage,,2,CONTINENTAL AIRLINES,Louisiana,Approach,None,FALSE,FALSE,MISSED ALL BUT 1 BLACK BIRD WHICH BOUNCED OFF THE LHS OF A/C  NOSE NEAR CAPT'S LEGS.,1/4/00 0:00,Small,No Cloud,Unknown bird - small,,Day,N,,0,0,0,,100,,,120
Helicopter,UNKNOWN,< 1000 ft,BELL-206,1,Precautionary Landing,,,,1/4/00 0:00,206124,No damage,,1,PHI INC,N/A,Approach,None,FALSE,FALSE,ARPT REPTD AS EI175H (GOMEX),1/4/00 0:00,,No Cloud,Gulls,810,Day,N,3,0,0,0,,100,,,
,WILMINGTON INTL,Unknown,UNKNOWN,1,,,,,1/4/00 0:00,201102,No damage,,,UNKNOWN,North Carolina,,,TRUE,FALSE,POSSIBLE HAWK WAS REPTD AS FOD BY PASSING A/C. TIME FOUND 1155  LCL. DAY.,1/4/00 0:00,Small,,Unknown bird - small,,,,,0,0,0,0,,,,
Airplane,LUIS MUNOZ MARIN INTL -SAN JUAN,< 1000 ft,C-402,1,None,,,,1/5/00 0:00,201103,No damage,,2,CAPE AIR,Puerto Rico,Landing Roll,None,FALSE,FALSE,,,,Some Cloud,Egrets,1240,Day,N,,0,0,0,0,0,,,55
Airplane,SAN FRANCISCO INTL ARPT,< 1000 ft,B-757-200,1,,,,,1/5/00 0:00,201278,No damage,,2,NORTHWEST AIRLINES,California,Take-off run,,FALSE,FALSE,FLT 1828. BIRD HIT L FWD WINDSCREEN. DID BS INSPN.,,Medium,,Unknown bird - medium,,,,,0,0,0,0,0,,,120
Airplane,GROTON-NEW LONDON AR,< 1000 ft,BE-1900,1,Aborted Take-off,,,5342,1/5/00 0:00,200637,No damage,,2,MESA AIRLINES,Connecticut,Take-off run,,FALSE,FALSE,RETD TO RAMP,,,No Cloud,Gulls,1537,Day,N,,0,0,0,0,0,,,
Airplane,PORT COLUMBUS INTL,< 1000 ft,B-757-200,1,None,,,,1/5/00 0:00,203953,No damage,,2,DELTA AIR LINES,Ohio,Take-off run,None,FALSE,FALSE,FLT 453,1/5/00 0:00,Medium,Overcast,Red-tailed hawk,1330,Day,N,,0,0,0,0,0,,,
Airplane,PORT COLUMBUS INTL,< 1000 ft,EMB-120,1,None,,,,1/5/00 0:00,201423,Caused damage,,2,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Take-off run,,FALSE,FALSE,,1/5/00 0:00,Large,Overcast,Unknown bird - large,,Day,N,,0,0,0,0,0,,,100
,RONALD REAGAN WASHINGTON NATL,Unknown,UNKNOWN,1,,,,,1/5/00 0:00,201045,No damage,,,UNKNOWN,DC,,,TRUE,FALSE,FOUND ON RWY AT DUSK.,1/21/00 0:00,Medium,,Ring-billed gull,,,N,,0,0,0,0,,,,
Airplane,JOHN F KENNEDY INTL,< 1000 ft,B-747-400,1,Aborted Take-off,,,14,1/6/00 0:00,200279,No damage,,4,EL AL,New York,Take-off run,,FALSE,FALSE,FEATHERS FOUND IN #3 ENG. INGESTION. CAPT WAS WORRIED  ABOUT HIGH TEMP OF BRAKES. MECH WILL INSPCT AL ENGS,,Small,,Snow bunting,1539,Day,,,0,0,0,0,0,,,
Airplane,UNKNOWN,Unknown,DC-9-50,1,,,,,1/6/00 0:00,200280,No damage,FOUND AT PLIH,2,HAWAIIAN AIR,N/A,,,FALSE,FALSE,RT WING LE. SMALL BLOODSTAIN.,,Medium,,Unknown bird - medium,,Day,N,,0,0,0,,,,,
Airplane,KANSAS CITY INTL,< 1000 ft,B-737,1,None,,,,1/6/00 0:00,202558,No damage,,2,SOUTHWEST AIRLINES,Missouri,Landing Roll,None,FALSE,FALSE,HIT JUST ABOVE WINDSHLD. 2ND A/C LANDING REPTD DEBRIS W SIDE 19R.  ATCT DIVERTED TRAFFIC TO 19L TO ALLOW RWY INSPN. NO WILDLIFE  FOUND. NO DMG.,,Small,No Cloud,Unknown bird - small,1722,Dusk,Y,,0,0,0,0,0,,,100
Airplane,ATLANTA INTL,< 1000 ft,DC-9-30,2 to 10,Aborted Take-off,,,,1/6/00 0:00,207369,No damage,,2,AIRTRAN AIRWAYS,Georgia,Take-off run,None,FALSE,FALSE,,1/6/00 0:00,Small,Some Cloud,Rock pigeon,,Day,N,,0,0,0,0,0,,,80
Airplane,SAN DIEGO INTL,Unknown,B-757-200,1,None,,,,1/6/00 0:00,207370,No damage,,2,AMERICA WEST AIRLINES,California,Approach,None,FALSE,FALSE,,1/6/00 0:00,Small,No Cloud,Unknown bird - small,,Day,N,,0,0,0,,,,,
Airplane,ORLANDO SANFORD INTL AIRPORT,< 1000 ft,A-330,2 to 10,None,,,,1/7/00 0:00,204371,No damage,,2,AIRTOURS INTL,Florida,Landing Roll,None,FALSE,FALSE,FLT 057,,Small,Some Cloud,Unknown bird - small,1437,Day,N,,0,0,0,0,0,,,100
Airplane,ORLANDO INTL,< 1000 ft,B-767-300,1,,,,,1/7/00 0:00,201254,No damage,,2,DELTA AIR LINES,Florida,Landing Roll,,FALSE,FALSE,LDG MCO SUSPECTED BIRD STRIKE RHS A/C.,,Medium,,Unknown bird - medium,,,,,0,0,0,0,0,,,
,SARASOTA-BRADENTON,Unknown,UNKNOWN,2 to 10,,,,,1/7/00 0:00,201274,No damage,,,UNKNOWN,Florida,,,TRUE,FALSE,FOUND 2 BIRDS,1/7/00 0:00,,,Sandpipers,,,,,0,0,0,0,,,,
Airplane,SYRACUSE HANCOCK INTL,< 1000 ft,B-727-200,1,None,,,,1/7/00 0:00,204109,No damage,,3,DELTA AIR LINES,New York,Climb,None,FALSE,FALSE,HEARD A THUMP. SOME SPLTTER ON L-1 WINDOW. ASKED TWR TO CHECK FOR  DEBRIS. BIRD HIT UPPER LHS RADOME,1/9/00 0:00,Small,Overcast,Mourning dove,,Dawn,N,,0,0,0,,100,,,160
,SHEPPARD AIR FORCE BASE,< 1000 ft,T-37B,2 to 10,,,,,1/7/00 0:00,3699,No damage,,,MILITARY,Texas,Approach,,FALSE,FALSE,Unidentified,2/19/02 15:45,Medium,,Unknown bird or bat,745,Day,,0,0,0,0,,800,,,200
Airplane,JOHN F KENNEDY INTL,< 1000 ft,B-767-200,2 to 10,None,,,,1/8/00 0:00,202568,No damage,,2,AMERICAN AIRLINES,New York,Take-off run,None,FALSE,FALSE,FLT#3 CONTD TO LAX.,,Small,No Cloud,Snow bunting,1220,Day,,,0,0,0,0,0,,,
Airplane,JOHN F KENNEDY INTL,< 1000 ft,B-757-200,2 to 10,None,,,,1/8/00 0:00,202907,No damage,,2,TRANS WORLD AIRLINES,New York,Take-off run,None,FALSE,FALSE,A/C CONTD TO DEST.,,Small,No Cloud,Snow bunting,842,Day,,,0,0,0,0,0,,,
Airplane,DETROIT METRO WAYNE COUNTY ARPT,< 1000 ft,SAAB-340,1,None,,,,1/8/00 0:00,210541,No damage,,2,MESABA AIRLINES,Michigan,Approach,,FALSE,FALSE,HIT F/O WIPER,,Small,No Cloud,Unknown bird - small,,Day,N,,0,0,0,,200,,,140
Airplane,AUSTIN STRAUBEL INTL,< 1000 ft,DC-9-50,1,,,,,1/8/00 0:00,202048,No damage,,2,NORTHWEST AIRLINES,Wisconsin,Approach,,FALSE,FALSE,DID BS INSPN FLT 967.,,Medium,,Unknown bird - medium,,,,,0,0,0,,50,,,
Airplane,LOS ANGELES INTL,< 1000 ft,B-747-400,1,,,,,1/8/00 0:00,203586,No damage,,4,UNITED AIRLINES,California,Take-off run,,FALSE,FALSE,BIRDSTRIKE ON L WINDSHLD.,,Medium,,Unknown bird - medium,,,,,0,0,0,0,0,,,
Airplane,PORTLAND INTL (OR),< 1000 ft,DHC8 DASH 8,1,None,,,,1/8/00 0:00,205868,No damage,,2,HORIZON AIR,Oregon,Approach,,FALSE,FALSE,FLT 311. 1.5 MI FINAL. LANDED W/O INCIDENT,,Medium,No Cloud,Unknown bird - medium,1721,Night,N,,0,0,0,,300,,,100
Airplane,UNKNOWN,Unknown,B-737-500,1,,,,,1/8/00 0:00,203684,No damage,SFO-LAX,2,UNITED AIRLINES,N/A,,,FALSE,FALSE,CLEANED BLOOD FROM RADOME.,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
Airplane,PUEBLO MEMORIAL ARPT,< 1000 ft,PA-28,1,Other,ABORTED TOUCH AND GO,,,1/8/00 0:00,201681,Caused damage,,1,PRIVATELY OWNED,Colorado,Landing Roll,None,FALSE,FALSE,PILOT WAS DOING TOUCH AND GOES. HE WAS ON ROLLOUT AND HAD RAISED THE FLAP FOR TAKEOFF WHEN HE HEARD A NOISE AND FELT A HARD BUMP.  HE NOTIFIED TWR THAT THERE MAY BE PARTS ON THE RWY AND THAT SOMETHING WAS WRONG. RT BRAKE DID NOT WORK.  INBD 3' OF LE OF RT,,Large,No Cloud,Mule deer,1830,Dusk,,"1,968",0,"66,544","66,544",0,0,,,45
Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,B-727-200,2 to 10,None,,,,1/8/00 0:00,200470,No damage,,3,AMERICAN AIRLINES,Texas,Landing Roll,None,FALSE,FALSE,"HAD RAINED EARLIER IN DAY. # BIRDS STRUCK NOT REPTD, ASSUME 2-10,  SAME AS # SEEN.",1/8/00 0:00,Medium,Overcast,Unknown bird - medium,1450,Day,,,0,0,0,0,0,,,110
Airplane,ONTARIO INTL ARPT,< 1000 ft,A-320,2 to 10,None,,,,1/8/00 0:00,201589,No damage,,2,AMERICA WEST AIRLINES,California,Approach,None,FALSE,FALSE,"FLEW THRU A FLOCK OF ABOUT 30 BIRDS. INGESTED 1. REPTS DIFFER ON  ENG STRUCK, COULD BE #1 AND/OR #2.",1/8/00 0:00,Small,Some Cloud,Rock pigeon,,Day,N,,0,0,0,,200,,,135
Airplane,MIAMI INTL,< 1000 ft,ATR-42,1,Precautionary Landing,,,,1/8/00 0:00,202271,No damage,,2,AMERICAN EAGLE AIRLINES,Florida,Climb,None,FALSE,FALSE,,1/8/00 0:00,Large,Some Cloud,Osprey,1500,Day,Y,,0,0,0,,800,,,160
Airplane,LAMBERT-ST LOUIS INTL,< 1000 ft,BA-31 JETSTR,1,None,,,,1/8/00 0:00,200159,No damage,,2,TRANS STATES AIRLINES,Missouri,Approach,,FALSE,FALSE,,1/8/00 0:00,Small,Overcast,Unknown bird - small,,Day,Y,,0,0,0,,100,,,125
,SARASOTA-BRADENTON,Unknown,UNKNOWN,1,,,,,1/8/00 0:00,200038,No damage,,,UNKNOWN,Florida,,,TRUE,FALSE,,1/8/00 0:00,Large,,Unknown bird - large,,,,,0,0,0,0,,,,
Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,DC-9-30,1,,,,,1/9/00 0:00,200568,No damage,,2,NORTHWEST AIRLINES,Texas,Landing Roll,,FALSE,FALSE,BS INSPN. FLT 1044. MSP-DFW.,,Medium,,Unknown bird - medium,,,,,0,0,0,0,0,,,
Airplane,SALT LAKE CITY INTL,< 1000 ft,B-737-300,2 to 10,,,,,1/9/00 0:00,205130,No damage,,2,UNITED AIRLINES,Utah,Take-off run,,FALSE,FALSE,CREW REPTD BIRDSTRIKES ON NOSE.,,Medium,,Unknown bird - medium,,,,,0,0,0,0,0,,,
Airplane,NASHVILLE INTL,< 1000 ft,B-757-200,2 to 10,None,,,,1/9/00 0:00,200559,No damage,,2,DELTA AIR LINES,Tennessee,Climb,None,FALSE,FALSE,FLT 2183. SMALL BLACK BIRDS.,,,Overcast,Blackbirds,,Day,Y,,0,0,0,,800,,,160
Airplane,UNKNOWN,Unknown,L-1011,1,,,,,1/9/00 0:00,200265,No damage,FLL-ATL,3,DELTA AIR LINES,N/A,,,FALSE,FALSE,BIRDSTRIKE IN RADOME AREA,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
Airplane,UNKNOWN,Unknown,A-320,1,,,,,1/9/00 0:00,208775,No damage,SAL-LAX,2,UNITED AIRLINES,N/A,,,FALSE,FALSE,CLEANED CAPT FRONT WINDSHLD,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
Airplane,REID-HILLVIEW ARPT OF SANTA CLARA CNTY,< 1000 ft,PA-38 TOMAHAWK,1,None,,,,1/9/00 0:00,204702,Caused damage,,1,BUSINESS,California,Approach,None,FALSE,FALSE,PAINT CRACKED A LITTLE ON UPPER SIDE WING,,,Some Cloud,Ducks,,Dusk,N,,0,0,0,,500,,,70
Airplane,INDIANAPOLIS INTL,< 1000 ft,DA-900,1,None,,,,1/9/00 0:00,202580,Caused damage,,3,BUSINESS,Indiana,Take-off run,None,FALSE,FALSE,GEAR DOOR SUSTAINED SUBSTANTIAL DMG AND NEEDED TO BE REPLACED.,,Large,Overcast,Coyote,503,Dawn,,,0,0,0,0,0,,,
Airplane,BALTIMORE WASH INTL,< 1000 ft,DHC8 DASH 8,1,None,,,,1/9/00 0:00,207354,No damage,,2,ALLEGHENYAIRLINES,Maryland,Climb,None,FALSE,FALSE,MAYBE A CROW. ATIS WARNING,1/9/00 0:00,Medium,Overcast,Unknown bird - medium,1305,Day,Y,,0,0,0,,5,,,100
Airplane,MCCARREN INTL,< 1000 ft,SAAB-340,1,None,,,,1/9/00 0:00,202132,No damage,,2,AMERICAN EAGLE AIRLINES,Nevada,Approach,None,FALSE,FALSE,NO REAL DAMAGE. HIT OUTER PROP BLADE.,1/10/00 0:00,Small,Overcast,Rock pigeon,,Day,N,17,0,0,0,,700,,,125
Airplane,JOHN F KENNEDY INTL,< 1000 ft,B-737-800,1,None,,,,1/10/00 0:00,202957,No damage,,2,AMERICAN AIRLINES,New York,Landing Roll,Rain,FALSE,FALSE,FLT 202. LIGHT RAIN.,,Medium,Overcast,Unknown bird - medium,1720,Day,,,0,0,0,0,0,,,
Airplane,MAHLON SWEET FLD,< 1000 ft,DHC8 DASH 8,1,,,,,1/10/00 0:00,201205,No damage,,2,HORIZON AIR,Oregon,Landing Roll,,FALSE,FALSE,FLT107 REPTD A BIRDSTRIKE LANDING AT EUG. DMG UNKN,,Medium,,Unknown bird - medium,1636,Day,,,0,0,0,0,0,,,
Airplane,PORTLAND INTL JETPORT (ME),< 1000 ft,DORNIER 328,1,,,,,1/10/00 0:00,200481,No damage,,2,PSA AIRLINES,Maine,Landing Roll,None,FALSE,FALSE,FLT4101,,,Overcast,Ducks,,Night,N,,0,0,0,0,0,,,120
Airplane,UNKNOWN,Unknown,B-727-200,1,,,,,1/10/00 0:00,203471,No damage,SJC-DEN,3,UNITED AIRLINES,N/A,,,FALSE,FALSE,EVIDENCE OF BIRDSTRIKE BOTTOM RH WING,,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
,JOHN F KENNEDY INTL,Unknown,UNKNOWN,1,,,,,1/10/00 0:00,206122,No damage,,,UNKNOWN,New York,,,TRUE,FALSE,FOUND ON S SHOULDER @ TWY D-E,,Medium,,Herring gull,,,,,0,0,0,0,,,,
Airplane,UNKNOWN,Unknown,B-757-200,1,,,,,1/10/00 0:00,202246,Caused damage,LAX-BOS,2,UNITED AIRLINES,N/A,,,FALSE,FALSE,"TEAR IN ACOUSTICAL LINING 5"" AFT OF FAN BLADES. ADHESIVE WOULD  NOT CURE IN TIME. MUST BE REPAIRED. REPLACED #1 ENG INLET COWL.",,Medium,,Unknown bird - medium,,,,,0,0,0,,,,,
Airplane,BURKE LAKEFRONT,Unknown,DA-20 FALCON,1,None,,,,1/10/00 0:00,204120,No damage,,2,BUSINESS,Ohio,Climb,Rain,FALSE,FALSE,NO BIRD FOUND ON FIELD.,1/10/00 0:00,,Overcast,Gulls,1340,Day,Y,,0,0,0,,,,,
Airplane,COASTAL CAROLINA REGIONAL ARPT,< 1000 ft,DHC8 DASH 8,1,None,,,,1/10/00 0:00,200818,No damage,,2,PIEDMONT AIRLINES,North Carolina,Climb,None,FALSE,FALSE,,1/11/00 0:00,,No Cloud,Gulls,,Day,,,0,0,0,,200,,,
,HUNTSVILLE INTL,< 1000 ft,T-37B,,None,,,,1/10/00 0:00,1264,No damage,,,MILITARY,Alabama,Climb,None,TRUE,TRUE,RIGHT LEADING EDGE OF CANOPY THEN RIGHT ENG INLET,1/29/01 14:41,Large,No Clouds,Turkey vulture,1545,Day,,552,0,"6,818","6,818",,"1,000",,,200
Airplane,DAYTONA BEACH INTL,< 1000 ft,C-172,1,None,,,,1/11/00 0:00,205770,No damage,,1,BUSINESS,Florida,Approach,,FALSE,FALSE,A/C GROUNDED FOR INSPN OF RT MAINT LDG GEAR STRUT,,Large,,Unknown bird - large,1630,Day,Y,,0,0,0,,5,,,60
Airplane,NASHVILLE INTL,< 1000 ft,DC-9-50,1,,,,,1/11/00 0:00,202220,No damage,,2,NORTHWEST AIRLINES,Tennessee,Take-off run,,FALSE,FALSE,FLT 1738. BIRD STRIKE ON ROTATION TO LWR RHS A/C.,,Medium,,Unknown bird - medium,,,,,0,0,0,0,0,,,
