Country or Area,Year,Sex,Classification,Subclassification,Coverage,Scope,Source,SourceID,Value,Value Footnotes
Costa Rica,2004,Women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,881.4,8
Costa Rica,2003,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,793,8
Costa Rica,2003,Men,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,771.1,8
Costa Rica,2003,Women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,832.5,8
Costa Rica,2002,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,730.3,8
Costa Rica,2002,Men,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,724.9,8
Costa Rica,2002,Women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,739.9,8
Costa Rica,2001,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,667.2,8
Costa Rica,2001,Total men and women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,132037,8
Costa Rica,2001,Men,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,137032,8
Costa Rica,2001,Men,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,646.6,8
Costa Rica,2001,Women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,703.4,8
Costa Rica,2001,Women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,123233,8
Costa Rica,2000,Total men and women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,106272,8
Costa Rica,2000,Men,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,111081,8
Costa Rica,2000,Women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,97042,8
Costa Rica,1999,Total men and women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,95235.4,8
Costa Rica,1999,Men,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,100530.4,8
Costa Rica,1999,Women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,84933.6,8
Costa Rica,1998,Total men and women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,86161,8
Costa Rica,1998,Men,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,89794,8
Costa Rica,1998,Women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,78949,8
Costa Rica,1997,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,75687,8
Costa Rica,1997,Men,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,77307,8
Costa Rica,1997,Women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,72399,8
Costa Rica,1996,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,66228,8
Costa Rica,1996,Men,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,68807,8
Costa Rica,1996,Women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,60739,8
Costa Rica,1995,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,56907,8
Costa Rica,1995,Men,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,59809,8
Costa Rica,1995,Women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,50837,8
Costa Rica,1994,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,47119,8
Costa Rica,1994,Men,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,49247,8
Costa Rica,1994,Women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,42435,8
Costa Rica,1993,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,40020,8
Costa Rica,1993,Men,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,41304,8
Costa Rica,1993,Women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,37242,8
Costa Rica,1992,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,33070,8
Costa Rica,1992,Men,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,34583,8
Costa Rica,1992,Women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,29848,8
Costa Rica,1991,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,26079,8
Costa Rica,1991,Men,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,27124,8
Costa Rica,1991,Women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,23843,8
Costa Rica,1990,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,21233,8
Costa Rica,1990,Men,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,22470,8
Costa Rica,1990,Women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,18508,8
Costa Rica,1989,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,17532,8
Costa Rica,1989,Men,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,18331,8
Costa Rica,1989,Women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,15789,8
Costa Rica,1988,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,14965,8
Costa Rica,1988,Men,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,15686,8
Costa Rica,1988,Women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,13371,8
Costa Rica,1987,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,12906,"8,9"
Costa Rica,1987,Men,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,13668,"8,9"
Costa Rica,1987,Women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,11225,"8,9"
El Salvador,2006,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,247.4,
El Salvador,2006,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,260.2,
El Salvador,2006,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,230.3,
El Salvador,2005,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,246.7,
El Salvador,2005,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,270.6,
El Salvador,2005,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,217.3,
El Salvador,2004,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,234.01,
El Salvador,2004,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,255.12,
El Salvador,2004,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,206.75,
El Salvador,2003,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,232,
El Salvador,2003,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,258.31,
El Salvador,2003,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,199.9,
El Salvador,2002,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,243.71,10
El Salvador,2002,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,277.58,10
El Salvador,2002,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,204.59,10
El Salvador,2001,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,2108.02,
El Salvador,2001,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,2349.74,
El Salvador,2001,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,1803.58,
El Salvador,2000,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,2073.25,
El Salvador,2000,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,2287.29,
El Salvador,2000,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,1809.79,
El Salvador,1999,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,1969.35,
El Salvador,1999,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,2178.3,
El Salvador,1999,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,1706.12,
El Salvador,1998,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,1968.13,
El Salvador,1998,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,2183.48,
El Salvador,1998,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,1684.37,
Guatemala,2008,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,2677.93,
Guatemala,2007,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,2564.12,
Guatemala,2006,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,2454.24,
Guatemala,2005,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,2329.16,
Guatemala,2004,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,2223.23,
Guatemala,2003,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,2113.91,
Guatemala,2002,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,1992.78,
Guatemala,2001,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,1859.8,
Guatemala,2000,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,1724.8,
Guatemala,1999,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,1567.78,
Guatemala,1998,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,1408.51,
Guatemala,1997,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,1275.08,
Guatemala,1996,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,1136.02,
Guatemala,1995,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,932.76,
Guatemala,1994,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,768.13,
Guatemala,1993,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,678.45,
Guatemala,1992,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,559.08,
Guatemala,1991,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,441.05,
Guatemala,1990,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,348.86,
Guatemala,1989,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,302.15,
Guatemala,1988,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,257.67,
Guatemala,1987,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,220.96,
Guatemala,1986,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,184.36,
Guatemala,1985,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,164.69,
Guatemala,1984,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,160.79,
Guatemala,1983,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,170.81,
Guatemala,1982,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,161.31,
Guatemala,1981,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,151.89,
Guatemala,1980,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Insurance records,# 0,115.78,
Honduras,2006,Total men and women,ISIC-Rev.3,Total.,Employees,Wage rates per day,Labour force survey,# 0,16.79,11
Mexico,2008,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,4800.876227,"12,13"
Mexico,2008,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,5131.734887,"12,13"
Mexico,2008,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,4238.970428,"12,13"
Mexico,2007,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,4716.345454,"12,13"
Mexico,2007,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,5043.566884,"12,13"
Mexico,2007,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,4157.058473,"12,13"
Mexico,2006,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,4425.924747,"12,13"
Mexico,2006,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,4696.769738,"12,13"
Mexico,2006,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,3956.807769,"12,13"
Mexico,2005,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,4173.84368,"12,13"
Mexico,2005,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,4441.035549,"12,13"
Mexico,2005,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,3713.624875,"12,13"
Mexico,2004,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,3969.650593,"12,13"
Mexico,2004,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 1,3969.3,14
Mexico,2004,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 1,4202.4,14
Mexico,2004,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,4210.208961,"12,13"
Mexico,2004,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,3522.824638,"12,13"
Mexico,2004,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 1,3538.9,14
Mexico,2003,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 1,3791.3,
Mexico,2003,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,3796.657534,"12,13"
Mexico,2003,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 3,20.52,
Mexico,2003,Men,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 3,20.7,
Mexico,2003,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,4025.261375,"12,13"
Mexico,2003,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 1,4005.6,
Mexico,2003,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 1,3379.7,
Mexico,2003,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,3354.095887,"12,13"
Mexico,2003,Women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 3,20.12,
Mexico,2002,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 3,18.89,
Mexico,2002,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,3553.511696,"12,13"
Mexico,2002,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 1,3537.9,
Mexico,2002,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 1,3761.8,
Mexico,2002,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,3785.71133,"12,13"
Mexico,2002,Men,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 3,19.15,
Mexico,2002,Women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 3,18.32,
Mexico,2002,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,3118.285119,"12,13"
Mexico,2002,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 1,3118.5,
Mexico,2001,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per day,Insurance records,# 0,143.56,
Mexico,2001,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 3,17.92,
Mexico,2001,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 1,3310.7,
Mexico,2001,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,3320.050433,"12,13"
Mexico,2001,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 2,3543.761989,"12,13"
Mexico,2001,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 1,3522.6,
Mexico,2001,Men,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 3,18.21,
Mexico,2001,Women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 3,17.27,
